Huvudsektor,Län,Kommun,2010,2011,2012,2013,2014,2015,2016,2017
El och fjärrvärme,Kalmar län,Högsby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Kalmar län,Torsås,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Kalmar län,Mörbylånga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Kalmar län,Hultsfred,845.7747,312.6542,433.6848,343.4981,273.3043,290.5132,407.3439,218.0764
El och fjärrvärme,Kalmar län,Mönsterås,0.0,0.0,0.0,0.0,0.0,0.0,690.1463,109.4993
El och fjärrvärme,Kalmar län,Emmaboda,626.5573,504.1527,582.6745,438.7748,337.6731,542.6276,530.4366,377.516
El och fjärrvärme,Kalmar län,Kalmar,28988.78,16104.27,10213.61,3535.746,2470.514,2127.063,2924.773,3385.788
El och fjärrvärme,Kalmar län,Nybro,3081.442,2219.329,1825.935,1572.786,1253.357,1449.106,11341.17,14898.66
El och fjärrvärme,Kalmar län,Oskarshamn,22923.31,18976.12,8372.547,3678.52,3278.726,3230.647,2640.876,2114.239
El och fjärrvärme,Kalmar län,Västervik,25830.93,19461.15,19868.35,19546.05,28532.72,27148.43,32789.41,29632.12
El och fjärrvärme,Kalmar län,Vimmerby,7191.19,5207.816,5242.346,5878.754,6835.801,5813.635,3264.321,4606.598
El och fjärrvärme,Kalmar län,Borgholm,178.6955,162.9776,142.2476,132.2126,159.8176,128.8857,144.6476,152.7146
Egen uppvärmning av bostäder och lokaler,Kalmar län,Högsby,2384.659,1870.94,1770.716,1617.337,1444.016,1387.518,1307.402,1298.284
Egen uppvärmning av bostäder och lokaler,Kalmar län,Torsås,2949.748,2289.515,2183.669,2074.191,1834.051,1762.822,1672.682,1685.048
Egen uppvärmning av bostäder och lokaler,Kalmar län,Mörbylånga,7410.443,6236.321,5083.273,4669.239,4738.699,4253.114,4133.104,3759.641
Egen uppvärmning av bostäder och lokaler,Kalmar län,Hultsfred,4136.914,3251.084,3081.135,2814.179,2511.59,2410.742,2283.004,2265.598
Egen uppvärmning av bostäder och lokaler,Kalmar län,Mönsterås,3365.655,2667.323,2512.79,2262.411,2046.493,1951.994,1878.184,1853.327
Egen uppvärmning av bostäder och lokaler,Kalmar län,Emmaboda,3552.944,2784.249,2643.445,2457.767,2192.42,2101.181,2006.151,2004.027
Egen uppvärmning av bostäder och lokaler,Kalmar län,Kalmar,8886.694,6789.954,6419.421,5903.461,5232.935,5021.459,4675.625,4671.306
Egen uppvärmning av bostäder och lokaler,Kalmar län,Nybro,4062.189,3219.067,3062.064,2843.693,2540.761,2435.562,2342.044,2334.58
Egen uppvärmning av bostäder och lokaler,Kalmar län,Oskarshamn,6257.132,4762.526,4491.062,4103.151,3637.372,3495.88,3220.858,3214.059
Egen uppvärmning av bostäder och lokaler,Kalmar län,Västervik,11736.1,9002.776,8492.148,7738.041,6883.641,6600.902,6146.53,6117.651
Egen uppvärmning av bostäder och lokaler,Kalmar län,Vimmerby,4005.587,3219.523,3071.957,2876.882,2582.479,2465.389,2426.54,2419.511
Egen uppvärmning av bostäder och lokaler,Kalmar län,Borgholm,8136.99,6966.605,5630.128,5170.487,5311.137,4741.115,4671.606,4220.114
Industri (energi och processer),Kalmar län,Högsby,1014.178,801.2476,865.1568,1037.068,1200.181,950.4816,1074.018,883.7128
Industri (energi och processer),Kalmar län,Torsås,1005.24,812.781,838.4389,988.4128,1032.976,853.316,1002.677,775.0767
Industri (energi och processer),Kalmar län,Mörbylånga,250922.9,264324.5,256646.0,231378.3,259101.6,247524.8,238639.6,251121.7
Industri (energi och processer),Kalmar län,Hultsfred,37253.45,29853.79,30580.24,8305.561,8117.415,6890.155,10435.09,11773.8
Industri (energi och processer),Kalmar län,Mönsterås,94659.12,90435.45,92125.82,79314.32,60755.83,43276.5,48833.35,32679.14
Industri (energi och processer),Kalmar län,Emmaboda,3268.529,2894.146,2497.94,2112.173,2065.435,1896.201,2785.514,2232.335
Industri (energi och processer),Kalmar län,Kalmar,9428.381,8510.653,7771.665,12576.92,12352.38,9835.014,11542.58,10249.24
Industri (energi och processer),Kalmar län,Nybro,9688.942,7251.508,6634.985,7346.465,5958.958,5199.622,6278.876,6721.329
Industri (energi och processer),Kalmar län,Oskarshamn,15917.99,14110.34,13599.42,15387.38,14450.49,13053.11,13841.21,14063.52
Industri (energi och processer),Kalmar län,Västervik,8249.901,6490.981,5701.85,5257.119,5052.514,3967.657,3857.25,3033.317
Industri (energi och processer),Kalmar län,Vimmerby,15687.6,14003.54,14022.69,13132.34,16929.94,16712.42,16472.37,10117.21
Industri (energi och processer),Kalmar län,Borgholm,567.5982,455.6115,480.7601,594.3156,621.7668,483.555,558.7445,494.6421
Transporter,Kalmar län,Högsby,19979.85,19617.86,18509.9,17986.94,17487.57,17582.14,16774.12,16230.56
Transporter,Kalmar län,Torsås,16673.49,16293.54,15370.64,15006.64,14661.97,14773.11,14120.74,14382.23
Transporter,Kalmar län,Mörbylånga,38045.17,37235.4,33859.0,33315.89,32901.33,32853.61,31194.59,28870.6
Transporter,Kalmar län,Hultsfred,37511.96,37119.61,35015.35,34056.8,33066.11,33113.95,31674.82,30720.73
Transporter,Kalmar län,Mönsterås,33284.74,32479.22,30502.95,29802.5,29190.36,29324.34,28002.15,28601.68
Transporter,Kalmar län,Emmaboda,25007.08,24508.9,23181.13,22564.18,22007.1,22176.22,21201.22,20804.27
Transporter,Kalmar län,Kalmar,124559.4,121615.1,114858.4,112126.8,109811.0,110526.5,105773.8,101764.8
Transporter,Kalmar län,Nybro,47185.96,46124.27,43601.07,42481.02,41489.15,41746.51,39899.48,35924.28
Transporter,Kalmar län,Oskarshamn,64321.8,62410.08,54617.47,53651.95,53429.2,52604.2,48799.94,51818.59
Transporter,Kalmar län,Västervik,83829.43,82712.35,78309.5,76515.84,74737.38,75515.06,72903.51,70910.86
Transporter,Kalmar län,Vimmerby,39770.91,39206.87,37179.62,36240.71,35336.87,35549.33,34373.31,33080.53
Transporter,Kalmar län,Borgholm,43491.21,42053.1,33831.59,33624.29,33889.64,33001.65,29789.45,27338.62
Arbetsmaskiner,Kalmar län,Högsby,4693.254,4605.937,3537.742,3941.991,3784.61,3277.352,3410.516,3785.028
Arbetsmaskiner,Kalmar län,Torsås,2996.374,4467.21,4336.811,3783.841,3950.056,3820.174,3678.554,4286.834
Arbetsmaskiner,Kalmar län,Mörbylånga,7870.031,7823.447,7911.959,7880.806,7718.631,7626.272,6922.028,7081.389
Arbetsmaskiner,Kalmar län,Hultsfred,9136.766,9657.37,8747.344,9297.961,8734.757,8720.043,7402.366,8481.242
Arbetsmaskiner,Kalmar län,Mönsterås,6953.503,7416.766,6423.509,6491.865,6677.623,5745.591,5903.353,6566.639
Arbetsmaskiner,Kalmar län,Emmaboda,2946.913,5350.607,4832.363,5070.32,4239.51,3942.035,3718.838,4525.4
Arbetsmaskiner,Kalmar län,Kalmar,16822.2,18604.35,18329.99,18303.31,18122.36,17783.61,16710.96,17448.31
Arbetsmaskiner,Kalmar län,Nybro,6437.008,9715.965,10030.71,9147.654,9159.841,8360.495,8572.465,8559.951
Arbetsmaskiner,Kalmar län,Oskarshamn,10720.49,10457.92,10543.7,10610.45,10869.11,9650.862,9297.852,9357.171
Arbetsmaskiner,Kalmar län,Västervik,22759.73,22112.05,21761.21,20714.26,21000.57,17539.93,17103.97,17379.26
Arbetsmaskiner,Kalmar län,Vimmerby,8938.289,9434.334,9317.682,7828.217,8803.905,7242.993,7135.803,8189.284
Arbetsmaskiner,Kalmar län,Borgholm,8380.412,8412.662,8379.822,8215.23,8376.908,8230.234,7402.399,7455.79
Produktanvändning (inkl. lösningsmedel),Kalmar län,Högsby,1418.961,1361.626,1018.121,997.4898,1020.037,999.412,1039.359,1019.136
Produktanvändning (inkl. lösningsmedel),Kalmar län,Torsås,1540.406,1477.311,1196.42,1197.374,1210.148,1167.672,1193.54,1179.923
Produktanvändning (inkl. lösningsmedel),Kalmar län,Mörbylånga,2626.087,2516.816,2490.684,2475.936,2512.242,2469.151,2515.264,2473.577
Produktanvändning (inkl. lösningsmedel),Kalmar län,Hultsfred,3376.516,3244.457,2429.994,2421.348,2442.745,2386.42,2510.491,2466.212
Produktanvändning (inkl. lösningsmedel),Kalmar län,Mönsterås,2663.278,2561.617,2316.126,2311.523,2328.632,2283.3,2310.501,2301.369
Produktanvändning (inkl. lösningsmedel),Kalmar län,Emmaboda,2121.817,2036.02,1585.932,1566.104,1573.661,1547.734,1598.446,1565.249
Produktanvändning (inkl. lösningsmedel),Kalmar län,Kalmar,11071.42,10616.33,11071.55,10957.65,11136.51,10962.85,11114.79,11038.37
Produktanvändning (inkl. lösningsmedel),Kalmar län,Nybro,4180.01,4013.648,3470.725,3411.058,3446.931,3373.008,3472.365,3398.496
Produktanvändning (inkl. lösningsmedel),Kalmar län,Oskarshamn,5373.917,5156.17,4579.81,4511.803,4547.486,4434.204,4522.54,4451.462
Produktanvändning (inkl. lösningsmedel),Kalmar län,Västervik,7846.218,7523.22,6277.29,6193.979,6196.774,6054.409,6130.218,6018.25
Produktanvändning (inkl. lösningsmedel),Kalmar län,Vimmerby,3132.952,3008.292,2724.709,2669.889,2679.895,2627.551,2667.612,2628.541
Produktanvändning (inkl. lösningsmedel),Kalmar län,Borgholm,2233.948,2138.057,1837.841,1811.38,1839.311,1779.048,1828.206,1768.757
Jordbruk,Kalmar län,Högsby,20883.25,21420.82,20958.85,21538.09,21743.96,22466.26,22472.59,23166.01
Jordbruk,Kalmar län,Torsås,26757.85,27519.82,26105.73,26790.91,27036.63,25006.92,24817.91,25498.94
Jordbruk,Kalmar län,Mörbylånga,98681.82,103190.6,96903.09,100632.5,101779.7,102475.0,102601.5,106822.1
Jordbruk,Kalmar län,Hultsfred,32375.41,33355.26,34655.7,35644.24,35992.28,33555.85,33644.68,34765.3
Jordbruk,Kalmar län,Mönsterås,24629.71,25470.6,26176.8,26777.41,28327.73,27444.03,27445.25,28160.9
Jordbruk,Kalmar län,Emmaboda,9038.789,9399.674,9949.573,9807.589,10376.64,7937.785,8089.185,8499.509
Jordbruk,Kalmar län,Kalmar,68364.17,68544.44,64342.85,65255.99,66980.12,68509.0,68394.91,70406.72
Jordbruk,Kalmar län,Nybro,22857.31,23357.98,22453.69,22614.45,23386.47,22831.97,22959.44,23851.61
Jordbruk,Kalmar län,Oskarshamn,14290.47,14897.84,13974.73,14416.8,14566.65,13568.0,13738.97,14391.86
Jordbruk,Kalmar län,Västervik,75236.73,77853.56,75263.56,77154.95,78184.35,71178.36,71169.23,73687.05
Jordbruk,Kalmar län,Vimmerby,48006.86,49297.84,44894.58,46062.23,46504.5,47034.41,46827.83,48103.53
Jordbruk,Kalmar län,Borgholm,112854.3,116663.5,112251.0,115479.5,116439.8,121389.9,120253.3,123435.3
Avfall (inkl. avlopp),Kalmar län,Högsby,3368.148,3146.27,2898.636,2739.279,2518.527,2289.416,2130.26,2013.052
Avfall (inkl. avlopp),Kalmar län,Torsås,2633.192,2466.705,2273.939,2153.647,1984.88,1799.015,1681.248,1593.491
Avfall (inkl. avlopp),Kalmar län,Mörbylånga,2373.778,2235.975,2071.46,1970.876,1828.988,1664.298,1566.572,1494.467
Avfall (inkl. avlopp),Kalmar län,Hultsfred,2052.909,1953.448,1825.645,1749.948,1645.168,1508.873,1436.503,1385.622
Avfall (inkl. avlopp),Kalmar län,Mönsterås,3212.458,3014.48,2789.309,2644.807,2447.606,2235.89,2091.613,1987.879
Avfall (inkl. avlopp),Kalmar län,Emmaboda,3493.713,3270.756,3021.781,2861.024,2639.404,2408.395,2247.013,2129.64
Avfall (inkl. avlopp),Kalmar län,Kalmar,41035.68,38217.03,34910.29,32856.12,30010.01,27659.56,27615.51,26349.51
Avfall (inkl. avlopp),Kalmar län,Nybro,780.9461,797.5127,784.4835,789.6824,793.5103,745.0614,756.5066,768.1677
Avfall (inkl. avlopp),Kalmar län,Oskarshamn,10799.49,10031.14,9241.13,8694.579,7962.196,7305.097,6734.581,6327.704
Avfall (inkl. avlopp),Kalmar län,Västervik,5685.237,5351.645,5061.67,4850.344,4654.297,4349.623,4041.929,3897.04
Avfall (inkl. avlopp),Kalmar län,Vimmerby,3027.584,2855.429,2656.103,2529.741,2356.221,2162.93,2036.665,1947.076
Avfall (inkl. avlopp),Kalmar län,Borgholm,1125.755,1093.862,1034.615,1008.758,965.564,881.7824,862.0087,846.6097
Utrikes transporter,Kalmar län,Högsby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Torsås,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Mörbylånga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Hultsfred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Mönsterås,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Emmaboda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Kalmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Nybro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Oskarshamn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Västervik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Vimmerby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Kalmar län,Borgholm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Stockholms län,Upplands Väsby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Stockholms län,Vallentuna,1081.427,335.8581,306.6562,452.6708,256.8403,219.2194,181.6575,248.8883
