Huvudsektor,Län,Kommun,2010,2011,2012,2013,2014,2015,2016,2017
El och fjärrvärme,Södermanlands län,Vingåker,345.7981,143.6396,212.7984,276.6383,122.3597,98.41954,359.098,85.11957
El och fjärrvärme,Södermanlands län,Gnesta,412.2979,271.3183,316.5381,263.3383,140.9796,178.2195,180.8795,77.13959
El och fjärrvärme,Södermanlands län,Nyköping,6106.723,5197.246,7850.784,2986.327,1930.892,2568.252,1585.906,848.9717
El och fjärrvärme,Södermanlands län,Oxelösund,119.6997,276.6383,135.6596,452.4438,7.979958,140.9796,313.8782,167.5795
El och fjärrvärme,Södermanlands län,Flen,2088.085,231.4184,276.4013,542.6375,130.3396,840.5558,526.6776,191.5195
El och fjärrvärme,Södermanlands län,Katrineholm,3991.992,2313.384,1637.001,1475.554,810.2979,249.4186,546.9336,226.5693
El och fjärrvärme,Södermanlands län,Eskilstuna,35909.6,13501.86,6778.042,4278.848,1888.365,480.3217,3829.37,3407.591
El och fjärrvärme,Södermanlands län,Strängnäs,3277.101,3277.101,19832.15,11272.07,10436.47,4630.547,3874.6,6466.913
El och fjärrvärme,Södermanlands län,Trosa,0.0,821.9357,303.2381,74.4796,172.8993,140.9794,154.2792,154.2792
Egen uppvärmning av bostäder och lokaler,Södermanlands län,Vingåker,2418.195,1849.688,1730.148,1509.315,1357.251,1290.707,1207.865,1174.758
Egen uppvärmning av bostäder och lokaler,Södermanlands län,Gnesta,3675.597,2683.541,2530.612,2300.848,2008.678,1918.654,1753.568,1743.769
Egen uppvärmning av bostäder och lokaler,Södermanlands län,Nyköping,9337.116,6888.792,6476.375,5811.01,5112.213,4879.784,4466.442,4414.163
Egen uppvärmning av bostäder och lokaler,Södermanlands län,Oxelösund,1100.64,830.3299,761.1511,628.5104,578.5544,548.6986,495.3543,475.3121
Egen uppvärmning av bostäder och lokaler,Södermanlands län,Flen,4204.742,3241.568,3047.508,2696.824,2420.768,2297.783,2196.968,2142.681
Egen uppvärmning av bostäder och lokaler,Södermanlands län,Katrineholm,5154.947,3855.729,3637.972,3280.295,2889.029,2756.153,2561.872,2527.389
Egen uppvärmning av bostäder och lokaler,Södermanlands län,Eskilstuna,9218.106,6766.066,6340.73,5650.787,4981.67,4753.947,4318.682,4265.293
Egen uppvärmning av bostäder och lokaler,Södermanlands län,Strängnäs,5426.847,4116.103,3843.934,3350.809,3010.618,2862.574,2662.983,2594.286
Egen uppvärmning av bostäder och lokaler,Södermanlands län,Trosa,2284.971,1723.454,1595.232,1360.234,1236.318,1172.333,1081.866,1048.697
Industri (energi och processer),Södermanlands län,Vingåker,6133.95,5727.227,5389.498,5740.631,5042.682,4700.183,4748.39,5122.645
Industri (energi och processer),Södermanlands län,Gnesta,504.6674,451.0825,456.0332,542.7326,535.0848,476.8789,594.8629,596.5372
Industri (energi och processer),Södermanlands län,Nyköping,3950.202,3755.381,3604.192,4219.171,4322.909,4042.902,5104.042,5182.954
Industri (energi och processer),Södermanlands län,Oxelösund,2211177.0,1949232.0,1587465.0,1511167.0,1582996.0,2217716.0,1554099.0,1584574.0
Industri (energi och processer),Södermanlands län,Flen,1119.66,954.0941,930.8733,1139.877,1182.352,992.4202,1261.058,1099.131
Industri (energi och processer),Södermanlands län,Katrineholm,6872.263,7399.103,7321.711,7324.072,7115.764,3732.592,4126.625,3709.989
Industri (energi och processer),Södermanlands län,Eskilstuna,29244.62,30774.52,23279.76,23735.22,26253.02,24920.8,26877.79,28543.7
Industri (energi och processer),Södermanlands län,Strängnäs,4661.374,4166.084,4358.372,4138.327,3352.735,3074.007,1898.732,2471.729
Industri (energi och processer),Södermanlands län,Trosa,553.3288,496.8352,509.368,597.4704,585.6554,527.0321,665.7145,698.4579
Transporter,Södermanlands län,Vingåker,21522.22,21043.61,20005.97,19517.65,19087.21,19161.01,18429.83,18594.29
Transporter,Södermanlands län,Gnesta,20444.99,20227.54,19293.8,18838.86,18385.96,18453.45,17972.88,14351.83
Transporter,Södermanlands län,Nyköping,224884.7,220240.5,207702.4,202559.2,197649.5,198610.7,190415.6,186594.3
Transporter,Södermanlands län,Oxelösund,14582.02,14432.57,12402.6,12165.52,12289.95,12078.56,11200.39,12046.16
Transporter,Södermanlands län,Flen,42610.73,41682.1,39553.87,38527.07,37638.37,37779.64,36312.28,33574.57
Transporter,Södermanlands län,Katrineholm,70793.76,69138.32,65480.1,63748.05,62184.0,62391.55,59659.14,57559.62
Transporter,Södermanlands län,Eskilstuna,141301.0,138759.4,131685.2,128829.5,125988.6,126682.5,121535.2,142215.5
Transporter,Södermanlands län,Strängnäs,100000.3,97974.81,92802.73,90649.76,88824.11,89186.68,85594.97,86490.1
Transporter,Södermanlands län,Trosa,46209.86,45379.82,42734.85,41674.62,40746.24,40973.99,39468.79,37501.32
